Value,Device,Package,Part
0.1uF,C-EU050-025X075,C050-025X075,1
14k,R-EU_0207/7,0207/7,1
220,R-EU_0207/7,0207/7,1
A-1076_RED-GREEN-LED-3MM3MM,A-1076_RED-GREEN-LED-3MM,custom_parts,1
A-4568_MINITOGGLESWITCH_DPDT_ON-ON,A-4568_MINITOGGLESWITCH_DPDT_ON-ON,A-4568_MINITOGGLESWITCH_DPDT_ON-ON,1
CONN_05X2SHD,2X5-SHROUDED,SparkFun-Connectors,1
F4505-N0SC2B10K,F4505-N0SC2B10K,F4505-N0SC2B10K,1
TL074P,TL074P,DIL14,1
7k,R-EU_0207/7,0207/7,2
1k,R-EU_0207/7,0207/7,3
WQP-PJ301M-12_JACK,WQP-PJ301M-12_JACK,WQP-PJ301M-12_JACK,3
